Name,Size Using Noval Approach,Size Using JPEG-LS,MSE,Image Entropy,Compressed Image Entropy,PSNR
01.png,39407,28953,0.03642378108725481,7.0097156,6.9547615,inf
02.png,37860,26252,0.03511364499274963,6.4970684,6.377264,inf
03.png,45509,30276,0.039073488879911834,7.532692,7.4772067,inf
04.png,47446,33435,0.04007206090755869,7.7506056,7.696228,inf
05.png,47189,30653,0.03895046492960502,7.4716306,7.382193,inf
06.png,42502,30565,0.0373888144548516,6.7130923,6.662967,inf
07.png,42864,29471,0.0381912527492587,7.656943,7.596441,inf
08.png,159851,113053,0.019986947800626605,7.447376,7.382159,inf
09.png,176517,133122,0.020257275653849015,7.6321187,7.5553427,inf
10.png,173278,128505,0.019190891669667667,7.1913705,7.1259737,inf
11.png,172196,123695,0.02001459183262371,7.1925883,7.2129574,inf
12.png,178162,130248,0.019993694784307844,7.057208,7.360959,inf
