Name,Size Using Noval Approach,Size Using JPEG-LS
0.jpg,16615,15248
1.jpg,18764,17727
2.jpg,20013,19918
3.jpg,18337,17439
4.jpg,17939,16861
5.jpg,17824,14863
6.jpg,16839,14220
7.jpg,15813,14133
8.jpg,15523,14025
9.jpg,12543,10576
10.jpg,18470,17809
11.jpg,18291,16995
12.jpg,15814,13673
13.jpg,19004,18733
14.jpg,20166,20173
15.jpg,16420,14869
16.jpg,17408,15638
17.jpg,15060,13183
18.jpg,16909,14695
19.jpg,15701,14356
20.jpg,14165,12262
21.jpg,18213,16834
22.jpg,18116,16890
23.jpg,17899,17034
24.jpg,17880,15986
25.jpg,20417,21350
26.jpg,11606,9131
27.jpg,12945,11232
28.jpg,17061,16243
29.jpg,18600,18797
30.jpg,14423,12080
31.jpg,20420,21258
32.jpg,18710,18542
33.jpg,14997,13284
34.jpg,20076,17653
35.jpg,13559,10153
36.jpg,15282,12000
37.jpg,16801,14925
38.jpg,16027,13963
39.jpg,13860,11857
40.jpg,13169,8101
41.jpg,17234,16145
42.jpg,16114,12628
43.jpg,12888,10854
44.jpg,15461,12117
45.jpg,16073,14681
46.jpg,13549,10556
47.jpg,19322,18300
48.jpg,17935,17234
49.jpg,17497,13607
50.jpg,18346,17237
51.jpg,17181,15272
52.jpg,19380,18402
53.jpg,16803,14714
54.jpg,19289,19103
55.jpg,16952,13304
56.jpg,14645,13210
57.jpg,15966,14825
58.jpg,15373,12760
59.jpg,18725,18259
60.jpg,18990,19684
61.jpg,20573,20830
62.jpg,19544,18663
63.jpg,17784,16596
64.jpg,16895,15796
65.jpg,19578,18706
66.jpg,19533,18707
67.jpg,16466,14615
68.jpg,17997,16809
69.jpg,19240,17809
70.jpg,18395,18107
71.jpg,19450,19535
72.jpg,16243,15534
73.jpg,18824,17744
74.jpg,20064,20795
75.jpg,20470,20965
76.jpg,16331,14541
77.jpg,15358,12014
78.jpg,18605,17480
79.jpg,17138,15110
80.jpg,20284,19924
81.jpg,12816,9636
82.jpg,17129,15787
83.jpg,15794,14071
84.jpg,19723,20306
85.jpg,19833,20064
86.jpg,18327,16381
87.jpg,19111,17712
88.jpg,20273,20467
89.jpg,17934,16480
90.jpg,18621,16216
91.jpg,18843,17963
92.jpg,15234,13290
93.jpg,19717,19365
94.jpg,15491,13361
95.jpg,18901,17291
96.jpg,17873,16648
97.jpg,17431,14912
98.jpg,18144,17174
99.jpg,18148,15490
100.jpg,17832,16520
101.jpg,17857,17103
102.jpg,17226,15591
103.jpg,18127,16155
104.jpg,15963,13919
105.jpg,18096,16851
106.jpg,19379,19063
107.jpg,18675,18062
108.jpg,19247,19441
109.jpg,14110,11551
110.jpg,15747,13657
111.jpg,18543,17825
112.jpg,17945,16134
113.jpg,20022,19489
114.jpg,19602,18120
115.jpg,19713,19351
116.jpg,16011,14584
117.jpg,19063,17708
118.jpg,16735,15057
119.jpg,18086,16110
120.jpg,16481,13899
121.jpg,18152,17017
122.jpg,18874,18930
123.jpg,15716,14646
124.jpg,17247,16260
125.jpg,15175,11161
126.jpg,19336,17928
127.jpg,15234,13538
128.jpg,18411,16437
129.jpg,17629,15953
130.jpg,15971,12626
131.jpg,15621,12620
132.jpg,18887,19019
133.jpg,16637,15259
134.jpg,18932,18078
135.jpg,16235,15463
136.jpg,15541,13405
137.jpg,17835,16404
138.jpg,20053,19590
139.jpg,20257,20489
140.jpg,18852,17662
141.jpg,15123,13780
142.jpg,20065,20482
143.jpg,18094,17621
144.jpg,18910,17887
145.jpg,14659,12345
146.jpg,13667,10017
147.jpg,18913,18113
148.jpg,19674,19949
149.jpg,15947,12564
150.jpg,18357,18016
151.jpg,16764,15430
152.jpg,19403,18015
153.jpg,20233,20296
154.jpg,18061,17586
155.jpg,18689,17169
156.jpg,13957,12058
157.jpg,16398,14461
158.jpg,20483,21008
159.jpg,13244,9691
160.jpg,18187,16816
161.jpg,19377,19000
162.jpg,13899,9925
163.jpg,17373,15951
164.jpg,19038,18277
165.jpg,16598,15023
166.jpg,19650,19452
167.jpg,18838,17781
168.jpg,19892,19656
169.jpg,15394,13222
170.jpg,18098,17357
171.jpg,20203,20125
172.jpg,16630,15299
173.jpg,12541,8789
174.jpg,15475,13581
175.jpg,17267,16612
176.jpg,17157,15398
177.jpg,20005,18273
178.jpg,15597,12807
179.jpg,13656,9859
180.jpg,18557,17231
181.jpg,18626,18185
182.jpg,16732,15088
183.jpg,19236,18928
184.jpg,18730,17240
185.jpg,10450,6274
186.jpg,16022,13155
187.jpg,14274,9886
188.jpg,16526,14869
189.jpg,16124,14812
190.jpg,13998,11811
191.jpg,17324,15511
192.jpg,17081,15861
193.jpg,20164,19550
194.jpg,15328,14387
195.jpg,16167,14844
196.jpg,18869,17235
197.jpg,17737,16710
198.jpg,20781,21558
199.jpg,18215,17186
200.jpg,19289,19351
201.jpg,16993,15034
202.jpg,13447,10036
203.jpg,16290,14587
204.jpg,14765,11733
205.jpg,15264,12424
206.jpg,16947,15914
207.jpg,17636,16246
208.jpg,15126,12128
209.jpg,18873,17406
210.jpg,20622,21418
211.jpg,14635,12941
212.jpg,17787,17047
213.jpg,16077,12833
214.jpg,19557,17525
215.jpg,18374,16729
216.jpg,17788,16314
217.jpg,18543,17731
218.jpg,19219,17883
219.jpg,20102,20197
220.jpg,17405,16416
221.jpg,16059,13354
222.jpg,20154,18585
223.jpg,15703,13239
224.jpg,20314,18940
225.jpg,17121,15466
226.jpg,19308,19160
227.jpg,11318,7536
228.jpg,17122,14201
229.jpg,16393,15014
230.jpg,18200,18143
231.jpg,15771,14272
232.jpg,19875,20159
233.jpg,14059,11264
234.jpg,17792,15218
235.jpg,16226,13974
236.jpg,17844,14776
237.jpg,16338,14609
238.jpg,16099,15110
239.jpg,16661,14875
240.jpg,19574,20124
241.jpg,17175,15342
242.jpg,14638,11221
243.jpg,17380,16259
244.jpg,15309,13468
245.jpg,16261,16418
246.jpg,13474,11123
247.jpg,17766,16078
248.jpg,15529,12731
249.jpg,17508,15412
250.jpg,18129,17281
251.jpg,18473,17626
252.jpg,20255,19955
253.jpg,19213,18936
254.jpg,20264,21013
255.jpg,20386,21149
256.jpg,15936,13746
257.jpg,15667,12458
258.jpg,15552,13921
259.jpg,14543,10898
260.jpg,16110,13025
261.jpg,15153,12290
262.jpg,18300,17728
263.jpg,17861,16827
264.jpg,17547,14909
265.jpg,20660,21028
266.jpg,15717,12367
267.jpg,17973,17411
268.jpg,12965,9439
269.jpg,16680,12719
270.jpg,18392,16874
271.jpg,19032,18978
272.jpg,16591,14927
273.jpg,16312,14353
274.jpg,18577,17862
275.jpg,16942,15170
276.jpg,15318,11976
277.jpg,14337,12958
278.jpg,17060,15308
279.jpg,16800,14012
280.jpg,14335,9874
281.jpg,20118,20329
282.jpg,18904,18146
283.jpg,19742,18994
284.jpg,15866,13090
285.jpg,16162,13033
286.jpg,18464,17162
287.jpg,12534,10566
288.jpg,20040,20358
289.jpg,19889,20343
290.jpg,14228,11157
291.jpg,17864,16646
292.jpg,14414,11523
293.jpg,20619,21849
294.jpg,16241,13369
295.jpg,20201,20227
296.jpg,18599,18676
297.jpg,19099,18950
298.jpg,16315,14318
299.jpg,17517,14624
300.jpg,19993,20586
301.jpg,17402,14423
302.jpg,11034,8679
303.jpg,15536,13666
304.jpg,19620,19651
305.jpg,20462,21277
306.jpg,14531,13118
307.jpg,16553,14689
308.jpg,18221,17014
309.jpg,20009,20093
310.jpg,20301,20156
311.jpg,14543,13243
312.jpg,17695,17037
313.jpg,13993,11459
314.jpg,16180,13741
315.jpg,17533,16293
316.jpg,17350,15766
317.jpg,19858,19343
318.jpg,16964,14037
319.jpg,15163,12802
320.jpg,14666,11418
321.jpg,17778,16227
322.jpg,12254,7862
323.jpg,17673,15943
324.jpg,19401,18178
325.jpg,17003,15298
326.jpg,17399,17544
327.jpg,18425,17525
328.jpg,17607,14667
329.jpg,15892,13772
330.jpg,19173,17780
331.jpg,19737,19985
332.jpg,17176,16096
333.jpg,14726,11254
334.jpg,19973,20163
335.jpg,16873,15425
336.jpg,18624,16732
337.jpg,16492,13624
338.jpg,16537,14837
339.jpg,17663,15993
340.jpg,16431,15934
341.jpg,19378,19775
342.jpg,14217,12104
343.jpg,13995,10623
344.jpg,18167,17713
345.jpg,19951,18948
346.jpg,19599,19548
347.jpg,18611,18683
348.jpg,17545,15399
349.jpg,18531,15756
350.jpg,18751,18618
351.jpg,19293,19436
352.jpg,15797,14399
353.jpg,16538,13614
354.jpg,19592,19649
355.jpg,15310,13170
356.jpg,18150,16582
357.jpg,15534,11885
358.jpg,20569,20945
359.jpg,17460,15780
360.jpg,20640,21015
361.jpg,16596,14849
362.jpg,17040,15770
363.jpg,19580,19808
364.jpg,19282,17849
365.jpg,17358,16318
366.jpg,19115,18349
367.jpg,20571,20401
368.jpg,16359,14462
369.jpg,16954,15536
370.jpg,17383,15603
371.jpg,19076,19071
372.jpg,19320,18381
373.jpg,15220,12929
374.jpg,18145,16529
375.jpg,19364,18283
376.jpg,16195,13298
377.jpg,14455,13773
378.jpg,15874,13515
379.jpg,18654,17574
380.jpg,16356,13722
381.jpg,19236,18816
382.jpg,18969,18028
383.jpg,19743,19901
384.jpg,20616,21587
385.jpg,12306,6124
386.jpg,17476,15768
387.jpg,17980,15608
388.jpg,20026,20274
389.jpg,17959,17379
390.jpg,16377,13528
391.jpg,19629,19621
392.jpg,19523,18941
393.jpg,16505,14805
394.jpg,19417,18379
395.jpg,17661,15786
396.jpg,18215,17467
397.jpg,19539,18996
398.jpg,15824,13645
399.jpg,17364,16727
400.jpg,17527,14930
401.jpg,17934,15623
402.jpg,12717,8037
403.jpg,18279,16916
404.jpg,19356,19387
405.jpg,19531,19017
406.jpg,16557,15490
407.jpg,15330,11964
408.jpg,14488,13377
409.jpg,14500,9717
410.jpg,15461,13681
411.jpg,16082,14966
412.jpg,14995,13411
413.jpg,20054,20107
414.jpg,18697,17308
415.jpg,19303,18263
416.jpg,16219,13337
417.jpg,13213,11013
418.jpg,17407,15721
419.jpg,15293,13957
420.jpg,15921,12108
421.jpg,18826,18221
422.jpg,20174,20392
423.jpg,11813,8562
424.jpg,18832,17380
425.jpg,15896,13313
426.jpg,14583,13208
427.jpg,17948,17211
428.jpg,19745,19764
429.jpg,15498,13163
430.jpg,18231,15190
431.jpg,15487,12410
432.jpg,14146,10915
433.jpg,17909,17896
434.jpg,17049,16131
435.jpg,18007,16391
436.jpg,19865,20715
437.jpg,20070,20079
438.jpg,16655,14847
439.jpg,20108,20300
440.jpg,15230,13187
441.jpg,17296,16358
442.jpg,20672,22315
443.jpg,16412,14504
444.jpg,19826,19844
445.jpg,20032,20447
446.jpg,16181,13073
447.jpg,17358,16656
448.jpg,16310,14334
449.jpg,16401,15145
450.jpg,17515,15573
451.jpg,19760,19766
452.jpg,18634,18717
453.jpg,16218,14784
454.jpg,19041,17076
455.jpg,15751,13147
456.jpg,17274,15762
457.jpg,17179,16018
458.jpg,18191,17679
459.jpg,18907,16490
460.jpg,16396,13912
461.jpg,16057,13464
462.jpg,17687,16091
463.jpg,19190,17125
464.jpg,19591,19780
465.jpg,18735,16860
466.jpg,15916,14827
467.jpg,20320,17936
468.jpg,18050,17053
469.jpg,15542,12565
470.jpg,17867,16798
471.jpg,16039,13801
472.jpg,12322,9047
473.jpg,20449,21527
474.jpg,19826,19630
475.jpg,18322,16912
476.jpg,13903,11714
477.jpg,20183,19992
478.jpg,17900,16035
479.jpg,15687,13341
