Name,Size Using Noval Approach,Size Using JPEG-LS
0.jpg,16620,15248
1.jpg,18769,17727
2.jpg,20018,19918
3.jpg,18342,17439
4.jpg,17944,16861
5.jpg,17829,14863
6.jpg,16844,14220
7.jpg,15818,14133
8.jpg,15528,14025
9.jpg,12548,10576
10.jpg,18475,17809
11.jpg,18296,16995
12.jpg,15819,13673
13.jpg,19009,18733
14.jpg,20171,20173
15.jpg,16425,14869
16.jpg,17413,15638
17.jpg,15065,13183
18.jpg,16914,14695
19.jpg,15706,14356
20.jpg,14170,12262
21.jpg,18218,16834
22.jpg,18121,16890
23.jpg,17904,17034
24.jpg,17885,15986
25.jpg,20422,21350
26.jpg,11611,9131
27.jpg,12950,11232
28.jpg,17066,16243
29.jpg,18605,18797
30.jpg,14428,12080
31.jpg,20425,21258
32.jpg,18715,18542
33.jpg,15002,13284
34.jpg,20081,17653
35.jpg,13564,10153
36.jpg,15287,12000
37.jpg,16806,14925
38.jpg,16032,13963
39.jpg,13865,11857
40.jpg,13174,8101
41.jpg,17239,16145
42.jpg,16119,12628
43.jpg,12893,10854
44.jpg,15466,12117
45.jpg,16078,14681
46.jpg,13554,10556
47.jpg,19327,18300
48.jpg,17940,17234
49.jpg,17502,13607
50.jpg,18351,17237
51.jpg,17186,15272
52.jpg,19385,18402
53.jpg,16808,14714
54.jpg,19294,19103
55.jpg,16957,13304
56.jpg,14650,13210
57.jpg,15971,14825
58.jpg,15378,12760
59.jpg,18730,18259
60.jpg,18995,19684
61.jpg,20578,20830
62.jpg,19549,18663
63.jpg,17789,16596
64.jpg,16900,15796
65.jpg,19583,18706
66.jpg,19538,18707
67.jpg,16471,14615
68.jpg,18002,16809
69.jpg,19245,17809
70.jpg,18400,18107
71.jpg,19455,19535
72.jpg,16248,15534
73.jpg,18829,17744
74.jpg,20069,20795
75.jpg,20475,20965
76.jpg,16336,14541
77.jpg,15363,12014
78.jpg,18610,17480
79.jpg,17143,15110
80.jpg,20289,19924
81.jpg,12821,9636
82.jpg,17134,15787
83.jpg,15799,14071
84.jpg,19728,20306
85.jpg,19838,20064
86.jpg,18332,16381
87.jpg,19116,17712
88.jpg,20278,20467
89.jpg,17939,16480
90.jpg,18626,16216
91.jpg,18848,17963
92.jpg,15239,13290
93.jpg,19722,19365
94.jpg,15496,13361
95.jpg,18906,17291
96.jpg,17878,16648
97.jpg,17436,14912
98.jpg,18149,17174
99.jpg,18153,15490
100.jpg,17837,16520
101.jpg,17862,17103
102.jpg,17231,15591
103.jpg,18132,16155
104.jpg,15968,13919
105.jpg,18101,16851
106.jpg,19384,19063
107.jpg,18680,18062
108.jpg,19252,19441
109.jpg,14115,11551
110.jpg,15752,13657
111.jpg,18548,17825
112.jpg,17950,16134
113.jpg,20027,19489
114.jpg,19607,18120
115.jpg,19718,19351
116.jpg,16016,14584
117.jpg,19068,17708
118.jpg,16740,15057
119.jpg,18091,16110
120.jpg,16486,13899
121.jpg,18157,17017
122.jpg,18879,18930
123.jpg,15721,14646
124.jpg,17252,16260
125.jpg,15180,11161
126.jpg,19341,17928
127.jpg,15239,13538
128.jpg,18416,16437
129.jpg,17634,15953
130.jpg,15976,12626
131.jpg,15626,12620
132.jpg,18892,19019
133.jpg,16642,15259
134.jpg,18937,18078
135.jpg,16240,15463
136.jpg,15546,13405
137.jpg,17840,16404
138.jpg,20058,19590
139.jpg,20262,20489
140.jpg,18857,17662
141.jpg,15128,13780
142.jpg,20070,20482
143.jpg,18099,17621
144.jpg,18915,17887
145.jpg,14664,12345
146.jpg,13672,10017
147.jpg,18918,18113
148.jpg,19679,19949
149.jpg,15952,12564
150.jpg,18362,18016
151.jpg,16769,15430
152.jpg,19408,18015
153.jpg,20238,20296
154.jpg,18066,17586
155.jpg,18694,17169
156.jpg,13962,12058
157.jpg,16403,14461
158.jpg,20488,21008
159.jpg,13249,9691
160.jpg,18192,16816
161.jpg,19382,19000
162.jpg,13904,9925
163.jpg,17378,15951
164.jpg,19043,18277
165.jpg,16603,15023
166.jpg,19655,19452
167.jpg,18843,17781
168.jpg,19897,19656
169.jpg,15399,13222
170.jpg,18103,17357
171.jpg,20208,20125
172.jpg,16635,15299
173.jpg,12546,8789
174.jpg,15480,13581
175.jpg,17272,16612
176.jpg,17162,15398
177.jpg,20010,18273
178.jpg,15602,12807
179.jpg,13661,9859
180.jpg,18562,17231
181.jpg,18631,18185
182.jpg,16737,15088
183.jpg,19241,18928
184.jpg,18735,17240
185.jpg,10455,6274
186.jpg,16027,13155
187.jpg,14279,9886
188.jpg,16531,14869
189.jpg,16129,14812
190.jpg,14003,11811
191.jpg,17329,15511
192.jpg,17086,15861
193.jpg,20169,19550
194.jpg,15333,14387
195.jpg,16172,14844
196.jpg,18874,17235
197.jpg,17742,16710
198.jpg,20786,21558
